latitude,longitude,taken_date,t2m,d2m,tp
53,48.5,2017-08-07,295.371,289.432,0.0313454
53,48.75,2017-08-12,293.469,286.181,0.160034
54,47.75,2017-08-08,290.568,289.07,0
54.25,51,2017-08-11,291.768,283.535,0
54.5,50.25,2017-08-07,292.296,286.332,0.00329971
54.5,53.5,2017-08-08,290.117,285.546,0
54.75,53.5,2017-08-09,289.235,282.942,1.45184
55.25,52.5,2017-08-08,289.387,287.84,0.0148468
55.5,54.75,2017-08-10,284.555,280.558,0.0923882
55.75,51.5,2017-08-10,289.867,283.584,0.0659943
56,54.25,2017-08-09,288.137,281.585,0.862854
56.25,55.5,2017-08-11,288.533,285.964,0
56.75,50.75,2017-08-10,287.622,284.924,0.765514
56.75,52.5,2017-08-09,288.276,280.998,0.00824738
53.5,48.5,2017-08-11,292.885,282.983,0.0115471
56.25,50,2017-08-12,289.096,284.901,0.872753
54.25,47.5,2017-08-11,290.413,284.226,0.00659943
54.25,54.75,2017-08-13,287.787,280.846,5.33716
54.75,55,2017-08-09,289.911,282.143,1.13177
55,52.5,2017-08-07,291.36,285.815,0.0181465
55.25,54.75,2017-08-09,289.979,282.612,1.78345
54.5,55,2017-08-08,291.328,287.523,0
55.5,50.75,2017-08-08,290.393,287.015,0
55.75,49.25,2017-08-11,292.021,285.786,0.287067
56.5,52.25,2017-08-12,289.437,284.151,2.47638
54,51.5,2017-08-13,288.545,283.454,2.7156
56.75,54.75,2017-08-08,289.775,285.205,0.046196
57,48.5,2017-08-07,290.334,286.251,1.09218
57,48.75,2017-08-12,288.544,284.876,1.99463
53.5,52.5,2017-08-07,291.877,286.001,0
53.75,49.25,2017-08-11,293.951,287.936,0
54,56,2017-08-09,289.416,282.961,2.13157
55.5,53.5,2017-08-08,289.124,287.029,0.118786
55,48.5,2017-08-11,290.847,284.935,0.0164986
55.5,50.25,2017-08-07,292.92,288.055,0.00659943
54.5,54.75,2017-08-10,285.515,277.862,0.00989914
54.75,52.5,2017-08-10,288.523,282.374,0.0544434
56,47.75,2017-08-10,287.895,285.479,0.277168
56.25,48.25,2017-08-07,291.609,289.227,0.285419
57,52.5,2017-08-11,290.3,284.921,0.0577431
53,52.5,2017-08-11,291.545,283.302,0
53.75,51.5,2017-08-10,289.142,281.961,0
54.5,50.75,2017-08-08,290.773,288.523,0
56.75,55,2017-08-10,283.261,279.519,0.242523
54.25,55.25,2017-08-08,291.973,289.146,0
54.25,56,2017-08-12,288.437,286.854,0.023098
54.75,50.75,2017-08-09,290.511,284.876,3.88367
55.5,55,2017-08-08,289.742,286.712,0.112186
55.25,51.5,2017-08-12,290.492,285.05,0.0362968
56.5,51.75,2017-08-10,287.997,283.745,0.0808411
56.25,49,2017-08-12,289.397,284.894,1.23241
56.5,49.5,2017-08-08,290.136,285.574,0.164982
56.25,51.75,2017-08-09,288.445,282.093,0.0478439
56.5,48,2017-08-08,289.774,286,0.0362968
53.25,55,2017-08-08,292.689,287.558,0
56.75,55.25,2017-08-13,286.394,280.357,5.58958
53,52.75,2017-08-12,291.517,286.356,0
53,53,2017-08-07,291.957,285.759,0
56.75,53.5,2017-08-10,286.994,282.216,0.0478439
53.75,50.25,2017-08-08,290.803,285.99,0
53.5,54.75,2017-08-12,289.315,284.893,0.107239
53.75,53.5,2017-08-07,291.015,286.034,0
54.25,55.5,2017-08-09,289.852,282.409,1.18127
54,50,2017-08-11,293.407,283.713,0
56.25,50.5,2017-08-10,287.928,284.351,1.09878
55.25,55.5,2017-08-13,287.309,281.111,3.56691
55.75,50.75,2017-08-07,291.48,286.666,0.023098
56,51.25,2017-08-11,290.867,283,0.0445442
56.25,51,2017-08-09,289.177,283.948,0.156734
56.5,50.5,2017-08-09,289.191,284.8,0.0131989
56.25,55.75,2017-08-07,289.786,286.763,0.491646
56.5,51,2017-08-10,287.649,284.735,0.272221
56.5,51.25,2017-08-07,290.638,287.419,1.38255
53.25,53.5,2017-08-08,294.161,286.678,0
53.25,50.25,2017-08-07,293.638,289.17,0
56.75,51.5,2017-08-07,290.247,287.19,0.900803
55,51.5,2017-08-09,290.315,284.369,4.76963
55,56,2017-08-13,287.33,281.504,3.60485
53.5,53,2017-08-11,292.545,283.214,0
53.75,55,2017-08-07,290.987,285.681,0.00494766
54,55.25,2017-08-07,290.867,286.076,0.00494766
54,55.5,2017-08-12,289.604,284.642,0.0428963
56.25,53.75,2017-08-07,290.356,285.991,0.971745
56.25,54,2017-08-10,285.327,281.26,0.00659943
56.25,47.5,2017-08-09,289.431,285.662,0.0131989
56.5,54,2017-08-09,287.434,280.314,0.587334
56.5,47.5,2017-08-10,288.257,285.03,0.265621
57,52.75,2017-08-12,288.484,284.278,0.859554
57,53,2017-08-07,289.673,286.138,0.722622
53.5,51.5,2017-08-09,292.896,283.267,0.0923882
53.5,56,2017-08-13,289.038,284.138,10.671
53.25,50.75,2017-08-08,293.275,287.571,0
55.75,55,2017-08-07,290.567,286.677,0.544441
54,49,2017-08-11,293.962,287.95,0.0527954
54.25,47.75,2017-08-07,291.614,286.574,0
55,53,2017-08-11,290.887,284.036,0.00164795
55,54.75,2017-08-12,289.95,285.27,1.77686
53.75,50.75,2017-08-07,291.788,286.707,0
54.25,51.75,2017-08-11,291.398,284.114,0
54.75,50.25,2017-08-12,290.98,285.065,0.610432
53.25,54.75,2017-08-10,286.57,277.162,0.0131989
56,50.25,2017-08-13,288.105,282.369,0.417404
55.75,50.25,2017-08-08,290.047,285.071,0
55.75,53.5,2017-08-07,291.19,287.42,0.918949
56.5,47.25,2017-08-12,290.363,285.66,1.22252
53.75,54,2017-08-13,288.099,282.406,6.06968
56.5,49.75,2017-08-08,290.077,285.601,0.486698
53.25,53.25,2017-08-08,294.07,286.893,0
53.5,48.75,2017-08-07,292.914,287.567,0
56.5,52,2017-08-12,289.331,284.208,2.06227
53.25,47,2017-08-08,290.299,285.869,0
53.5,48.5,2017-08-12,291.746,284.912,0.140236
54,50.5,2017-08-10,289.437,282.405,0.00989914
54,51,2017-08-09,291.298,283.611,0.146835
54.25,47.5,2017-08-12,290.248,284.627,0.572487
54,55.75,2017-08-07,291.289,285.452,0.0197983
54.25,48.25,2017-08-08,291.006,289.353,0
56.25,50,2017-08-11,290.603,285.54,0.35141
54.75,49.25,2017-08-08,291.647,289.018,0
55.75,49.25,2017-08-12,290.424,284.985,0.471848
54.5,49.25,2017-08-09,291.279,284.96,1.90719
55,51.75,2017-08-13,287.362,281.987,0.659927
55.5,53,2017-08-10,290.231,282.325,0.117138
55.75,54.5,2017-08-07,290.745,287.096,0.813362
56,52.25,2017-08-07,292.326,286.058,0.478447
57,51.5,2017-08-08,289.447,286.481,0.138584
56.75,48.25,2017-08-13,287.535,282.791,0.25737
57,48.75,2017-08-11,290.354,287.467,0.504845
56.5,52.25,2017-08-11,290.099,284.747,0.0940399
53,48.75,2017-08-11,293.121,285.532,0.0115471
53,51.5,2017-08-08,294.6,288.873,0
53.75,50.5,2017-08-13,291.215,284.967,2.29325
53.75,47,2017-08-07,290.96,284.931,0
53.75,53.25,2017-08-07,291.17,286.048,0
54.75,48.75,2017-08-10,290.872,283.944,0.277168
54,53.75,2017-08-07,290.643,285.944,0
54,54,2017-08-10,285.119,278.347,0.0164986
54.25,51,2017-08-12,290.476,284.887,0.392658
54.5,47.25,2017-08-13,289.68,284.466,2.40543
54,47.5,2017-08-09,290.609,284.07,2.59681
54.25,53,2017-08-13,287.78,282.335,1.74056
54.5,52,2017-08-13,286.735,282.433,0.862854
54.25,47.25,2017-08-10,287.931,283.83,0.0263977
56,49.75,2017-08-09,288.926,285.464,0.229324
56.25,55.25,2017-08-07,289.307,286.844,0.635181
56.25,55.5,2017-08-12,288.386,285.884,0.730869
55.25,53,2017-08-09,289.926,282.727,2.54237
56.75,53,2017-08-08,289.456,285.076,0.00659943
53,52.5,2017-08-12,291.901,286.106,0
53.25,52.25,2017-08-13,289.195,284.106,2.68425
53.25,54.5,2017-08-08,293.203,287.035,0
54.25,56,2017-08-11,289.004,283.649,0
54.25,52,2017-08-10,287.934,282.377,0.00989914
55.25,48.75,2017-08-08,290.532,285.729,0
54.5,53,2017-08-10,288.307,281.666,0.0478439
55.25,51.5,2017-08-11,290.835,283.292,0.0131989
55.75,47,2017-08-07,291.757,288.765,0.265621
55.5,49.25,2017-08-09,290.442,285.826,0.503193
55.75,50.5,2017-08-13,288.048,282.516,1.00474
55.75,53.25,2017-08-07,291.647,287.497,0.694572
55.25,49.25,2017-08-10,291.506,286.731,0.338211
57,47.75,2017-08-13,288.077,283.849,0.151783
53,47.75,2017-08-13,290.378,283.05,0.440502
53.5,51.75,2017-08-13,289.416,284.544,4.83562
55,48.5,2017-08-12,290.581,284.772,0.572487
55,48.75,2017-08-07,292.523,286.993,0.00494766
56,50.5,2017-08-08,290.359,284.929,0.0263977
56.25,49,2017-08-11,289.851,287.255,0.280468
56.75,48.75,2017-08-09,288.223,285.211,0.138584
53.25,48.5,2017-08-10,289.041,282.948,0
53.75,49.25,2017-08-12,293.413,286.709,0.0560951
53.75,54.5,2017-08-07,290.721,286.505,0
53.5,52.75,2017-08-07,291.614,286.096,0
55.5,47.25,2017-08-13,289.366,284.424,0.394306
55.5,52,2017-08-13,287.279,281.963,1.03939
55.75,54,2017-08-13,288.662,281.113,3.1792
56,54,2017-08-08,290.061,287.477,0.108887
53,54.75,2017-08-07,290.63,285.829,0
53.25,47.25,2017-08-13,289.936,283.065,0.522991
53.25,52,2017-08-13,289.273,284.571,1.71581
57,52.5,2017-08-12,288.348,284.311,0.973392
53.5,51,2017-08-13,291.313,284.722,1.06083
53.5,53,2017-08-12,290.673,284.875,0.0181465
54.25,50,2017-08-09,291.468,284.165,0.151783
54,55.5,2017-08-11,290.271,282.822,0
54,50,2017-08-12,291.508,285.373,0.168282
54.25,52.25,2017-08-10,287.889,282.122,0.0148468
57,52.75,2017-08-11,290.407,284.665,0.0214462
53.5,47.5,2017-08-13,289.237,283.689,0.892551
53.5,54.75,2017-08-11,289.71,282.967,0
55.25,50,2017-08-13,290.611,284.876,0.559288
55.5,48.5,2017-08-10,288.874,284.693,0.229324
56.25,47.75,2017-08-08,290.301,286.293,0.0527954
56.75,54.5,2017-08-10,285.483,280.168,0.164982
53,52.75,2017-08-11,291.884,283.212,0
53.25,49.25,2017-08-09,293.014,285.246,0.069294
54.25,48.5,2017-08-13,291.326,286.519,2.59187
54.5,53.25,2017-08-08,289.952,284.99,0
54.5,47,2017-08-08,290.195,289.173,0
54.75,52.75,2017-08-10,288.932,282.1,0.0610428
